Missing Authentication,Improper Login,Improper Session Check,Session Fixation,Insufficient Session Expiration
CVE-2023-50263,CVE-2023-49792,CVE-2023-6680,CVE-2023-52353,CVE-2023-5889
CVE-2023-46819,CVE-2023-49443,CVE-2023-31580,CVE-2023-49804,CVE-2023-5865
CVE-2023-46249,CVE-2023-49075,CVE-2022-39366,CVE-2023-48929,CVE-2023-5838
CVE-2023-45140,CVE-2023-48028,CVE-2022-38297,CVE-2023-46733,CVE-2023-50270
CVE-2023-4465,CVE-2023-46745,CVE-2022-31083,CVE-2023-4649,CVE-2023-49091
CVE-2023-40585,CVE-2023-46123,CVE-2022-29165,CVE-2023-44400,CVE-2023-47628
CVE-2023-36347,CVE-2023-45149,CVE-2022-26493,CVE-2023-41012,CVE-2023-46326
CVE-2023-31594,CVE-2023-39960,CVE-2022-1426,CVE-2023-40273,CVE-2023-45659
CVE-2023-31143,CVE-2023-39958,CVE-2022-0730,CVE-2023-3394,CVE-2023-4190
CVE-2023-25570,CVE-2023-35172,CVE-2021-39235,CVE-2023-3192,CVE-2023-4126
CVE-2023-0919,CVE-2023-34243,CVE-2021-3818,CVE-2023-31498,CVE-2023-41041
CVE-2022-46145,CVE-2023-32320,CVE-2021-37580,CVE-2023-29019,CVE-2023-40178
CVE-2022-45933,CVE-2023-32319,CVE-2021-35296,CVE-2023-27490,CVE-2023-40174
CVE-2022-45378,CVE-2023-32074,CVE-2021-32631,CVE-2023-25403,CVE-2023-4005
CVE-2022-44216,CVE-2023-3173,CVE-2021-29451,CVE-2023-22479,CVE-2023-40025
CVE-2022-4229,CVE-2023-29005,CVE-2021-22573,CVE-2023-2105,CVE-2023-39695
CVE-2022-36521,CVE-2023-28847,CVE-2021-22189,CVE-2023-1265,CVE-2023-38489
CVE-2022-34321,CVE-2023-2799,CVE-2021-22160,CVE-2022-43687,CVE-2023-37919
CVE-2022-3327,CVE-2023-2675,CVE-2021-21378,CVE-2022-4231,CVE-2023-32318
CVE-2022-31022,CVE-2023-25820,CVE-2021-21310,CVE-2022-38628,CVE-2023-31140
CVE-2022-29933,CVE-2023-2531,CVE-2020-7922,CVE-2022-38369,CVE-2023-31139
CVE-2022-2930,CVE-2023-25156,CVE-2020-36569,CVE-2022-38054,CVE-2023-31065
CVE-2022-29270,CVE-2023-1665,CVE-2020-36564,CVE-2022-36437,CVE-2023-30403
CVE-2022-26279,CVE-2023-1539,CVE-2020-36255,CVE-2022-3269,CVE-2023-25562
CVE-2022-26159,CVE-2023-0860,CVE-2020-28042,CVE-2022-31888,CVE-2023-23929
CVE-2022-2552,CVE-2022-44023,CVE-2020-25867,CVE-2022-30769,CVE-2023-23614
CVE-2022-2551,CVE-2022-44022,CVE-2020-1952,CVE-2022-30605,CVE-2023-22732
CVE-2022-25508,CVE-2022-4006,CVE-2020-16088,CVE-2022-2997,CVE-2023-22492
CVE-2022-24829,CVE-2022-3993,CVE-2020-15957,CVE-2022-2820,CVE-2023-1854
CVE-2022-24111,CVE-2022-3945,CVE-2020-15270,CVE-2022-27305,CVE-2023-1788
CVE-2022-23945,CVE-2022-39314,CVE-2020-15240,CVE-2022-25896,CVE-2023-1543
CVE-2022-23944,CVE-2022-3741,,CVE-2022-24895,CVE-2023-0227
CVE-2022-23345,CVE-2022-35925,,CVE-2022-24781,CVE-2022-41672
CVE-2022-23227,CVE-2022-31273,,CVE-2022-24745,CVE-2022-4070
CVE-2021-46384,CVE-2022-31118,,CVE-2022-23555,CVE-2022-39801
CVE-2021-43832,CVE-2022-2822,,CVE-2022-1849,CVE-2022-39234
CVE-2021-41418,CVE-2022-2821,,CVE-2021-42073,CVE-2022-37186
CVE-2021-41157,CVE-2022-2650,,CVE-2021-41268,CVE-2022-3362
CVE-2021-41104,CVE-2022-2525,,CVE-2021-41246,CVE-2022-31677
CVE-2021-40875,CVE-2022-24689,,CVE-2021-33394,CVE-2022-31145
CVE-2021-38540,CVE-2022-2321,,CVE-2021-32710,CVE-2022-31050
CVE-2021-37624,CVE-2022-2166,,CVE-2021-32676,CVE-2022-2888
CVE-2021-36780,CVE-2021-41179,,CVE-2021-29368,CVE-2022-2713
CVE-2021-36779,CVE-2021-41171,,CVE-2021-27181,CVE-2022-25590
CVE-2021-35936,CVE-2021-38725,,CVE-2021-22237,CVE-2022-24744
CVE-2021-32709,CVE-2021-38155,,CVE-2020-6302,CVE-2022-23502
CVE-2021-32700,CVE-2021-3663,,CVE-2020-6290,CVE-2022-2307
CVE-2021-29442,CVE-2021-35472,,CVE-2020-5290,CVE-2022-23063
CVE-2021-28122,CVE-2021-3138,,CVE-2020-5205,CVE-2022-2306
CVE-2021-26697,CVE-2021-28911,,CVE-2020-35591,CVE-2022-22113
CVE-2020-9480,CVE-2021-28909,,CVE-2020-20402,CVE-2022-21652
CVE-2020-26649,CVE-2021-28248,,CVE-2020-15679,CVE-2022-2064
CVE-2020-25697,CVE-2021-27188,,CVE-2020-15018,CVE-2022-0991
CVE-2020-24203,CVE-2020-8827,,CVE-2020-12467,CVE-2021-45330
CVE-2020-15391,CVE-2020-8790,,,CVE-2021-43791
CVE-2020-15136,CVE-2020-7995,,,CVE-2021-41247
CVE-2020-15127,CVE-2020-35590,,,CVE-2021-41126
CVE-2020-13927,CVE-2020-35586,,,CVE-2021-41100
CVE-2020-13920,CVE-2020-35585,,,CVE-2021-41093
CVE-2020-13405,CVE-2020-29042,,,CVE-2021-40849
CVE-2020-12478,CVE-2020-27747,,,CVE-2021-37693
CVE-2020-11969,CVE-2020-24007,,,CVE-2021-36372
CVE-2020-11028,CVE-2020-23283,,,CVE-2021-34428
CVE-2020-10272,CVE-2020-21238,,,CVE-2021-33982
CVE-2020-10079,CVE-2020-21237,,,CVE-2021-3311
,CVE-2020-18698,,,CVE-2021-32726
,CVE-2020-15770,,,CVE-2021-31745
,CVE-2020-15367,,,CVE-2021-31590
,CVE-2020-13312,,,CVE-2021-3144
,CVE-2020-11052,,,CVE-2021-31408
,CVE-2020-10285,,,CVE-2021-27351
,,,,CVE-2021-26921
,,,,CVE-2021-25992
,,,,CVE-2021-25985
,,,,CVE-2021-25981
,,,,CVE-2021-25979
,,,,CVE-2021-25970
,,,,CVE-2021-25966
,,,,CVE-2021-25940
,,,,CVE-2021-22221
,,,,CVE-2020-9482
,,,,CVE-2020-8826
,,,,CVE-2020-6363
,,,,CVE-2020-6292
,,,,CVE-2020-6197
,,,,CVE-2020-35358
,,,,CVE-2020-29667
,,,,CVE-2020-25816
,,,,CVE-2020-24030
,,,,CVE-2020-23178
,,,,CVE-2020-23140
,,,,CVE-2020-23136
,,,,CVE-2020-18701
,,,,CVE-2020-15774
,,,,CVE-2020-15269
,,,,CVE-2020-15220
,,,,CVE-2020-15218
,,,,CVE-2020-13353
,,,,CVE-2020-13307
,,,,CVE-2020-13302
,,,,CVE-2020-13299
