CVE ID,CVSS3,session
CVE-2023-5889,8.2,Framework
CVE-2023-5865,9.8,Custom
CVE-2023-5838,9.8,Framework
CVE-2023-50270,,Custom
CVE-2023-49091,9.8,Framework
CVE-2023-45659,2.8,Framework
CVE-2023-4190,6.5,Framework
CVE-2023-4126,8.8,Custom
CVE-2023-41041,3.1,Framework
CVE-2023-40174,9.8,Framework
CVE-2023-4005,9.8,Custom
CVE-2023-39695,5.3,access denied
CVE-2023-38489,7.3,Custom
CVE-2023-37919,5.4,Framework
CVE-2023-32318,6.7,Custom
CVE-2023-31140,6.5,Custom
CVE-2023-31065,9.1,Framework
CVE-2023-25562,9.8,Framework
CVE-2023-22492,5.9,Custom
CVE-2023-1788,9.8,Framework
CVE-2023-1543,8.8,Custom
CVE-2023-0227,6.5,Custom
CVE-2022-41672,8.1,Custom
CVE-2022-4070,9.8,Framework
CVE-2022-39801,7.5,access denied
CVE-2022-39234,8.8,Framework
CVE-2022-3362,9.8,Framework
CVE-2022-31050,7.2,Framework
CVE-2022-2888,4.4,Custom
CVE-2022-2713,9.8,Custom
CVE-2022-25590,6.5,Framework
CVE-2022-24744,3.5,Framework
CVE-2022-23502,5.4,Framework
CVE-2022-2307,3.8,access denied
CVE-2022-23063,8.8,Framework
CVE-2022-2306,7.5,Framework
CVE-2022-22113,8.8,Custom
CVE-2022-21652,8.1,Framework
CVE-2022-2064,8.8,Framework
CVE-2022-0991,7.1,Framework
CVE-2021-45330,9.8,Custom
CVE-2021-41247,7.5,Custom
CVE-2021-41126,7.2,Framework
CVE-2021-37693,7.5,Custom
CVE-2021-36372,9.8,access denied
CVE-2021-3311,9.8,Framework
CVE-2021-32726,9.8,Custom
CVE-2021-31745,7.5,Framework
CVE-2021-31590,8.8,Framework
CVE-2021-31408,7.1,Framework
CVE-2021-26921,6.5,Framework
CVE-2021-25992,9.8,Custom
CVE-2021-25985,9.8,Framework
CVE-2021-25981,9.8,Custom
CVE-2021-25979,9.8,Custom
CVE-2021-25970,8.8,Custom
CVE-2021-25966,8.8,Custom
CVE-2021-25940,8,Framework
CVE-2021-22221,6.5,access denied
CVE-2020-9482,6.5,access denied
CVE-2020-6363,4.6,access denied
CVE-2020-6292,8.8,access denied
CVE-2020-35358,9.8,access denied
CVE-2020-23178,5.4,Custom
CVE-2020-23140,8.1,access denied
CVE-2020-23136,5.5,access denied
CVE-2020-18701,9.8,Custom
CVE-2020-13307,4.7,access denied
CVE-2020-13302,7.2,access denied
CVE-2020-13294,5.4,access denied
CVE-2020-11027,8.1,Framework
CVE-2020-10876,7.5,access denied
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
